tag_completo,prefixo,tipo_instrumento,descricao,sistemas_manual,fases_vault,qtd_mencoes_manual,trecho_exemplo,fonte_trecho,origem
37220-V-5121,V,Válvulas Manuais / Bloqueio,Válvula de desligamento manual no ar de instrumento,,,0,,,Somente lista oficial (sem contexto)
37220-V-5146,V,Válvulas Manuais / Bloqueio,Válvula de desligamento manual nas linhas de ar pressurizado,,,0,,,Somente lista oficial (sem contexto)
37221-FV-5015,FV,Válvulas de Controle de Vazão,Válvula de controle de água de alimentação da caldeira,,11_Analise_Riscos; Operação Normal; Partida; README.md,0,"* Encher e ventilar a tubulação com cuidado até a válvula de controle de água de alimentação **37221-FV-5015**, usando a altura estática do tanque.",03_Partida/Caldeira_Partida_Agua_Alimentacao.md,Vault
37221-HV-5021,HV,Válvulas Manuais Acionadas (ar/motor),Desvio da válvula de controle de água de alimentação,,Partida,0,* Válvula de controle **37221-FV-5015** e seu desvio **37221-HV-5021**: fechados.,03_Partida/Caldeira_Partida_Agua_Alimentacao.md,Vault
35221-SIC-1040,SIC,Controladores Indicadores de Velocidade,Controlador de velocidade da bomba de água de alimentação (bomba FW 1),,Partida,0,* Verificar se o controlador de velocidade da bomba **35221-SIC-1040** (bomba FW1) / **35221-SIC-1047** (bomba FW2) está em modo **REMOTO**.,03_Partida/Caldeira_Partida_Agua_Alimentacao.md,Vault
35221-SIC-1047,SIC,Controladores Indicadores de Velocidade,Controlador de velocidade da bomba de água de alimentação (bomba FW 2),,Partida,0,* Verificar se o controlador de velocidade da bomba **35221-SIC-1040** (bomba FW1) / **35221-SIC-1047** (bomba FW2) está em modo **REMOTO**.,03_Partida/Caldeira_Partida_Agua_Alimentacao.md,Vault
35221-P-1119,P,Bombas,Bomba de água de alimentação 1,5.2 - Sistema de Água e Vapor,,1,BOMBAS DE ÁGUA DE ALIMENTAÇÃO 35221-P-1119,5.2 - Sistema de Água e Vapor.txt,Manual completo
35221-P-1121,P,Bombas,Bomba de água de alimentação 2,5.2 - Sistema de Água e Vapor,,1,E 35221-P-1121,5.2 - Sistema de Água e Vapor.txt,Manual completo
37223-M-5208,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Transportador pneumático do boiler bank da caldeira,5.10 - Sistema de Manuseio de Cinza Volante,,4,BANK 37223-M-5208                                                                                M-5210,5.10 - Sistema de Manuseio de Cinza Volante.txt,Manual completo
37223-M-5203,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Transportador pneumático abaixo das tremonhas de cinza de 2ª passagem,5.10 - Sistema de Manuseio de Cinza Volante,,4,ROSCA DE CINZA DO BOILER BANK 37223-M-5203                                                    ROSCA DE CINZA DO ECO 37223-M-5209,5.10 - Sistema de Manuseio de Cinza Volante.txt,Manual completo
37223-M-5210,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Transportador pneumático do economizador,5.10 - Sistema de Manuseio de Cinza Volante,,3,pneumático de cinza de 3ª passagem 37223-M-5210.,5.10 - Sistema de Manuseio de Cinza Volante.txt,Manual completo
37223-M-5209,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Transportador pneumático abaixo das tremonhas de cinza do economizador,5.10 - Sistema de Manuseio de Cinza Volante,,4,ROSCA DE CINZA DO BOILER BANK 37223-M-5203                                                    ROSCA DE CINZA DO ECO 37223-M-5209,5.10 - Sistema de Manuseio de Cinza Volante.txt,Manual completo
37223-M-5212,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Transportador pneumático de filtro ESP 1,5.10 - Sistema de Manuseio de Cinza Volante,,3,"5211 e 37223-M-5213, transportadores pneumáticos de cinza ESP 37223-M-5212 e 37223-M-5214.",5.10 - Sistema de Manuseio de Cinza Volante.txt,Manual completo
37223-M-5214,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Transportador pneumático de filtro ESP 2,5.10 - Sistema de Manuseio de Cinza Volante,,4,"5212, 37223-M-5214",5.10 - Sistema de Manuseio de Cinza Volante.txt,Manual completo
37224-M-5333,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Ventilador de gás de combustão,5.6 - Sistema de Gases de Combustão,,2,VENTILADOR DE GÁS DE COMBUSTÃO 37224-M-5333,5.6 - Sistema de Gases de Combustão.txt,Manual completo
37224-PIC-5400,PIC,Controladores Indicadores de Pressão,Controle de pressão da fornalha da caldeira,5.5 - Sistema de Ar; 5.6 - Sistema de Gases de Combustão,Operação Normal; Partida,3,• A medição da pressão da fornalha 37224-PIC-5400 é a mediana de três medidas de pressão da,5.5 - Sistema de Ar.txt,Manual completo + Vault
37224-XS-5384,XS,Chaves/Status Discretos (sequências),Sequência de purga da fornalha,5.5 - Sistema de Ar,Partida,4,Sequência de purga da caldeira 37224-XS-5384,5.5 - Sistema de Ar.txt,Manual completo + Vault
37224-M-5324,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Ventilador de ar overfire,5.5 - Sistema de Ar,,2,VENTILADOR DE AR PARA QUEIMA (OVERFIRE) 37224-M-5324,5.5 - Sistema de Ar.txt,Manual completo
37224-PIC-5369,PIC,Controladores Indicadores de Pressão,Controle / Damper de pressão do fluxo de ar overfire / ar secundário,5.5 - Sistema de Ar,Operação Normal; Partida,4,Controlador de pressão do ar de queima 37224-PIC-5369,5.5 - Sistema de Ar.txt,Manual completo + Vault
37224-FIC-5372,FIC,,"Controle de fluxo de ar overfire / secundário inferior, parede dianteira",5.5 - Sistema de Ar,Operação Normal; Partida,4,Controlador de fluxo da parede frontal do ar secundário inferior 37224-FIC-5372,5.5 - Sistema de Ar.txt,Manual completo + Vault
37224-FIC-5375,FIC,,"Controle de fluxo de ar overfire / secundário inferior, parede traseira",5.5 - Sistema de Ar,Operação Normal; Partida,4,Controlador de fluxo da parede traseira do ar secundário inferior 37224-FIC-5375,5.5 - Sistema de Ar.txt,Manual completo + Vault
